state_abbr,state_desc,n_counties,pm25_wtd_mean,year
AK,Alaska,5,7.95,2016
AL,Alabama,17,8.041666667,2016
AR,Arkansas,11,8.822222222,2016
AZ,Arizona,13,8.866666667,2016
CA,California,51,9.209090909,2016
CO,Colorado,26,6.21,2016
CT,Connecticut,8,7.1,2016
DE,Delaware,3,8.9,2016
FL,Florida,37,6.54375,2016
GA,Georgia,30,8.905,2016
HI,Hawaii,4,6.65,2016
IA,Iowa,19,7.523076923,2016
ID,Idaho,9,8.5,2016
IL,Illinois,25,8.272727273,2016
IN,Indiana,41,8.565217391,2016
KS,Kansas,11,6.885714286,2016
KY,Kentucky,28,8.357142857,2016
LA,Louisiana,21,8.2,2016
MA,Massachusetts,13,6.055555556,2016
MD,Maryland,16,7.936363636,2016
ME,Maine,10,6.114285714,2016
MI,Michigan,28,7.55625,2016
MN,Minnesota,19,5.576470588,2016
MO,Missouri,23,7.788888889,2016
MS,Mississippi,10,8.26,2016
MT,Montana,13,6.516666667,2016
NC,North Carolina,36,8.30625,2016
ND,North Dakota,10,3.111111111,2016
NE,Nebraska,8,7.02,2016
NH,New Hampshire,7,5.18,2016
NJ,New Jersey,16,8.221428571,2016
NM,New Mexico,10,7.733333333,2016
NV,Nevada,8,7.275,2016
NY,New York,28,6.484615385,2016
OH,Ohio,43,8.636363636,2016
OK,Oklahoma,23,7.6,2016
OR,Oregon,13,6.6375,2016
PA,Pennsylvania,39,9.147619048,2016
PR,Puerto Rico,8,7.2,2016
RI,Rhode Island,3,6.533333333,2016
SC,South Carolina,17,8.775,2016
SD,South Dakota,10,4.766666667,2016
TN,Tennessee,21,8.464285714,2016
TX,Texas,35,8.8,2016
UT,Utah,12,7.45,2016
VA,Virginia,35,7.125,2016
VT,Vermont,3,5.766666667,2016
WA,Washington,13,6.72,2016
WI,Wisconsin,27,6.733333333,2016
WV,West Virginia,13,8.33,2016
WY,Wyoming,17,4.645454545,2016
NA,,1,NA,2016